iso_code;country;year;gdppercapita;co2efficiency
ARG;Argentina;1990;12017.5;0.286
ARG;Argentina;1991;13180.6;0.270
ARG;Argentina;1992;14405.4;0.251
ARG;Argentina;1993;15189.9;0.228
ARG;Argentina;1994;15957.9;0.223
ARG;Argentina;1995;15389.9;0.238
ARG;Argentina;1996;16115.3;0.237
ARG;Argentina;1997;16546.5;0.233
ARG;Argentina;1998;16415.7;0.236
ARG;Argentina;1999;15328.9;0.263
ARG;Argentina;2000;15106.7;0.256
ARG;Argentina;2001;14084.1;0.255
ARG;Argentina;2002;12021.7;0.275
ARG;Argentina;2003;12786.2;0.276
ARG;Argentina;2004;13821.1;0.295
ARG;Argentina;2005;15015.6;0.276
ARG;Argentina;2006;16060.1;0.277
ARG;Argentina;2007;17488.2;0.251
ARG;Argentina;2008;18488.0;0.254
ARG;Argentina;2009;17093.6;0.259
ARG;Argentina;2010;18877.2;0.242
ARG;Argentina;2011;20232.3;0.228
ARG;Argentina;2012;20069.5;0.229
ARG;Argentina;2013;20073.0;0.225
ARG;Argentina;2014;19184.8;0.231
ARG;Argentina;2015;19500.9;0.229
ARG;Argentina;2016;18847.1;0.233
AUS;Australia;1990;27769.6;0.591
AUS;Australia;1991;26644.9;0.611
AUS;Australia;1992;27927.8;0.586
AUS;Australia;1993;28290.6;0.581
AUS;Australia;1994;29383.7;0.562
AUS;Australia;1995;30345.1;0.559
AUS;Australia;1996;31282.6;0.549
AUS;Australia;1997;32251.0;0.541
AUS;Australia;1998;33033.8;0.545
AUS;Australia;1999;34436.9;0.532
AUS;Australia;2000;35806.4;0.515
AUS;Australia;2001;36155.3;0.515
AUS;Australia;2002;37317.7;0.500
AUS;Australia;2003;37810.8;0.498
AUS;Australia;2004;38883.3;0.496
AUS;Australia;2005;40933.6;0.468
AUS;Australia;2006;41021.1;0.466
AUS;Australia;2007;41929.6;0.456
AUS;Australia;2008;43690.2;0.434
AUS;Australia;2009;42618.7;0.440
AUS;Australia;2010;44865.7;0.408
AUS;Australia;2011;45700.6;0.392
AUS;Australia;2012;44533.7;0.399
AUS;Australia;2013;43431.5;0.394
AUS;Australia;2014;43227.7;0.386
AUS;Australia;2015;43874.3;0.382
AUS;Australia;2016;44100.1;0.384
BRA;Brazil;1990;5731.4;0.242
BRA;Brazil;1991;5981.0;0.240
BRA;Brazil;1992;6080.7;0.233
BRA;Brazil;1993;6439.3;0.226
BRA;Brazil;1994;7150.3;0.210
BRA;Brazil;1995;8147.1;0.194
BRA;Brazil;1996;9598.2;0.178
BRA;Brazil;1997;9210.0;0.193
BRA;Brazil;1998;8716.9;0.208
BRA;Brazil;1999;8356.6;0.220
BRA;Brazil;2000;8410.1;0.221
BRA;Brazil;2001;8239.5;0.228
BRA;Brazil;2002;8243.4;0.221
BRA;Brazil;2003;8140.4;0.215
BRA;Brazil;2004;8478.0;0.214
BRA;Brazil;2005;8757.5;0.210
BRA;Brazil;2006;9406.5;0.193
BRA;Brazil;2007;10361.3;0.181
BRA;Brazil;2008;11508.6;0.172
BRA;Brazil;2009;11862.6;0.157
BRA;Brazil;2010;13591.3;0.155
BRA;Brazil;2011;15036.8;0.145
BRA;Brazil;2012;14853.0;0.155
BRA;Brazil;2013;15121.7;0.163
BRA;Brazil;2014;14992.8;0.172
BRA;Brazil;2015;15552.3;0.156
BRA;Brazil;2016;13630.0;0.170
CAN;Canada;1990;30500.0;0.550
CAN;Canada;1991;29079.6;0.558
CAN;Canada;1992;29868.2;0.554
CAN;Canada;1993;29704.4;0.551
CAN;Canada;1994;30768.2;0.543
CAN;Canada;1995;31820.1;0.533
CAN;Canada;1996;31841.9;0.544
CAN;Canada;1997;32950.0;0.535
CAN;Canada;1998;33308.9;0.534
CAN;Canada;1999;35640.0;0.509
CAN;Canada;2000;37596.4;0.498
CAN;Canada;2001;37240.9;0.491
CAN;Canada;2002;37526.5;0.488
CAN;Canada;2003;38427.3;0.485
